test_name,planner_name,num_agents,planning_time,plan_cost,num_collision_checks
test0,PRIORITIZED_PLANNING,4,1.03427,17.0868,31159
test1,PRIORITIZED_PLANNING,4,12.3572,20.8741,332837
test2,PRIORITIZED_PLANNING,4,24.8175,23.0383,679359
test3,PRIORITIZED_PLANNING,4,1.78907,24.3648,50544
test4,PRIORITIZED_PLANNING,4,75.6283,112,2464044
test5,PRIORITIZED_PLANNING,4,7.81218,24.0855,225811
test6,PRIORITIZED_PLANNING,4,73.585,inf,2438339
test7,PRIORITIZED_PLANNING,4,33.5657,inf,938764
test8,PRIORITIZED_PLANNING,4,38.2667,31.6254,1150839
test9,PRIORITIZED_PLANNING,4,1.96143,23.0383,52832
test10,PRIORITIZED_PLANNING,4,18.2024,23.4223,553711
test11,PRIORITIZED_PLANNING,4,17.8588,27.1922,485334
test12,PRIORITIZED_PLANNING,4,3.97583,26.4417,122248
test13,PRIORITIZED_PLANNING,4,9.09016,inf,252982
test14,PRIORITIZED_PLANNING,4,8.05659,22.7765,239616
test15,PRIORITIZED_PLANNING,4,14.1593,24.7662,419975
test16,PRIORITIZED_PLANNING,4,11.4382,22.9511,339755
test17,PRIORITIZED_PLANNING,4,39.8864,21.9562,1193392
test18,PRIORITIZED_PLANNING,4,5.42315,25.0978,152494
test19,PRIORITIZED_PLANNING,4,1.07237,20.3331,25286
test0,RRT_CONNECT,4,6.15642,34.1262,0
test1,RRT_CONNECT,4,11.9072,62.1346,0
test2,RRT_CONNECT,4,0,inf,0
test3,RRT_CONNECT,4,8.84078,31.4425,0
test4,RRT_CONNECT,4,41.1026,82.5495,0
test5,RRT_CONNECT,4,0,inf,0
test6,RRT_CONNECT,4,15.8212,16.662,0
test7,RRT_CONNECT,4,0,inf,0
test8,RRT_CONNECT,4,0,inf,0
test9,RRT_CONNECT,4,0,inf,0
test10,RRT_CONNECT,4,0,inf,0
test11,RRT_CONNECT,4,0,inf,0
test12,RRT_CONNECT,4,28.4225,73.3152,0
test13,RRT_CONNECT,4,0,inf,0
test14,RRT_CONNECT,4,0,inf,0
test15,RRT_CONNECT,4,0,inf,0
test16,RRT_CONNECT,4,0,inf,0
test17,RRT_CONNECT,4,0,inf,0
test18,RRT_CONNECT,4,0,inf,0
test19,RRT_CONNECT,4,30.7212,77.1856,0
test0,PRM,4,0,inf,0
test1,PRM,4,0,inf,0
test2,PRM,4,0,inf,0
test3,PRM,4,0,inf,0
test4,PRM,4,0,inf,0
test5,PRM,4,0,inf,0
test6,PRM,4,0,inf,0
test7,PRM,4,0,inf,0
test8,PRM,4,0,inf,0
test9,PRM,4,0,inf,0
test10,PRM,4,0,inf,0
test11,PRM,4,0,inf,0
test12,PRM,4,0,inf,0
test13,PRM,4,0,inf,0
test14,PRM,4,54.5279,55.2289,0
test15,PRM,4,0,inf,0
test16,PRM,4,0,inf,0
test17,PRM,4,0,inf,0
test18,PRM,4,0,inf,0
test19,PRM,4,0,inf,0
test0,XCBS,4,60.0006,inf,1174111
test1,XCBS,4,3.32229,20.5251,74921
test2,XCBS,4,3.76171,23.0383,79061
test3,XCBS,4,0.64045,24.5742,14851
test4,XCBS,4,6.40105,25.5691,154158
test5,XCBS,4,60.0023,inf,1086656
test6,XCBS,4,60.0046,inf,1151025
test7,XCBS,4,60.8795,inf,1081860
test8,XCBS,4,60.0223,inf,1036370
test9,XCBS,4,60.0033,inf,972822
test10,XCBS,4,17.524,23.527,349234
test11,XCBS,4,60.0072,inf,885696
test12,XCBS,4,60.0111,inf,1283884
test13,XCBS,4,60.0088,inf,1067062
test14,XCBS,4,1.49999,22.8464,33751
test15,XCBS,4,4.76201,22.8464,98462
test16,XCBS,4,60.0008,inf,975966
test17,XCBS,4,7.31149,21.7817,151137
test18,XCBS,4,60.0157,inf,1026666
test19,XCBS,4,0.608644,20.4029,13337
test0,CBS_MP,4,12.4146,17.8547,334174
test1,CBS_MP,4,8.43943,20.5251,228821
test2,CBS_MP,4,10.9795,23.0383,271899
test3,CBS_MP,4,1.05195,24.5742,27577
test4,CBS_MP,4,14.2471,25.5691,394592
test5,CBS_MP,4,15.1386,24.7488,349843
test6,CBS_MP,4,63.6592,inf,1799318
test7,CBS_MP,4,72.3682,inf,1784659
test8,CBS_MP,4,71.7309,inf,1976542
test9,CBS_MP,4,21.4582,24.1554,519420
test10,CBS_MP,4,39.8739,23.4921,1098997
test11,CBS_MP,4,23.6581,27.4017,612764
test12,CBS_MP,4,62.9817,inf,1859427
test13,CBS_MP,4,66.6088,inf,1769714
test14,CBS_MP,4,11.6977,22.8464,325172
test15,CBS_MP,4,18.482,23.1954,483829
test16,CBS_MP,4,60.891,inf,1571174
test17,CBS_MP,4,22.951,21.7817,596832
test18,CBS_MP,4,61.3497,inf,1599589
test19,CBS_MP,4,0.685715,20.368,17495
test0,CBS,4,60.1848,inf,1624130
test1,CBS,4,8.43792,20.5251,228821
test2,CBS,4,11.179,23.0383,271899
test3,CBS,4,1.11473,24.5742,27577
test4,CBS,4,14.7625,25.5691,394592
test5,CBS,4,60.9235,inf,1311648
test6,CBS,4,63.9303,inf,1670675
test7,CBS,4,80.8078,inf,1965449
test8,CBS,4,78.3317,inf,2055386
test9,CBS,4,60.0103,inf,1329332
test10,CBS,4,69.8077,inf,1792740
test11,CBS,4,60.8487,inf,1541614
test12,CBS,4,60.0619,inf,1454248
test13,CBS,4,71.4346,inf,1796313
test14,CBS,4,31.6245,22.8464,811976
test15,CBS,4,62.5741,inf,1463887
test16,CBS,4,62.1964,inf,1578386
test17,CBS,4,23.7947,21.7817,596832
test18,CBS,4,61.4378,inf,1598620
test19,CBS,4,1.35798,20.4029,35859
test0,DRRT-FIRST,4,0,inf,1088294
test1,DRRT-FIRST,4,0,inf,825353
test2,DRRT-FIRST,4,0,inf,578367
test3,DRRT-FIRST,4,0,inf,918046
test4,DRRT-FIRST,4,0,inf,1120118
test5,DRRT-FIRST,4,25.3086,64.1189,408806
test6,DRRT-FIRST,4,0,inf,1324561
test7,DRRT-FIRST,4,0,inf,892104
test8,DRRT-FIRST,4,0,inf,1238623
test9,DRRT-FIRST,4,0,inf,1222973
test10,DRRT-FIRST,4,0,inf,502143
test11,DRRT-FIRST,4,0,inf,1174109
test12,DRRT-FIRST,4,4.89283,76.9795,469185
test13,DRRT-FIRST,4,0,inf,910386
test14,DRRT-FIRST,4,0,inf,1070034
test15,DRRT-FIRST,4,0,inf,698685
test16,DRRT-FIRST,4,0,inf,810075
test17,DRRT-FIRST,4,0,inf,1264299
test18,DRRT-FIRST,4,0,inf,1363954
test19,DRRT-FIRST,4,0,inf,1077390
test20,PRIORITIZED_PLANNING,4,33.7459,22.8813,810259
test21,PRIORITIZED_PLANNING,4,43.7399,30.4909,948849
test22,PRIORITIZED_PLANNING,4,2.11098,18.8146,49111
test23,PRIORITIZED_PLANNING,4,11.3134,22.7765,246324
test24,PRIORITIZED_PLANNING,4,16.4028,28.2569,392375
test25,PRIORITIZED_PLANNING,4,82.4851,inf,1753210
test26,PRIORITIZED_PLANNING,4,1.9806,20.3505,49418
test27,PRIORITIZED_PLANNING,4,101.554,inf,2537614
test28,PRIORITIZED_PLANNING,4,15.6818,28.3616,359892
test29,PRIORITIZED_PLANNING,4,8.93498,26.7559,200560
test30,PRIORITIZED_PLANNING,4,61.6617,inf,1545627
test31,PRIORITIZED_PLANNING,4,13.5511,18.9892,297242
test32,PRIORITIZED_PLANNING,4,9.63585,26.2672,222734
test33,PRIORITIZED_PLANNING,4,1.0303,20.5774,26176
test34,PRIORITIZED_PLANNING,4,3.09343,20.9963,68928
test35,PRIORITIZED_PLANNING,4,1.24461,19.443,29233
test36,PRIORITIZED_PLANNING,4,2.56869,23.1082,55081
test37,PRIORITIZED_PLANNING,4,53.5769,26.913,1329641
test38,PRIORITIZED_PLANNING,4,15.3624,17.3486,353430
test39,PRIORITIZED_PLANNING,4,2.92267,25.4469,68300
test40,PRIORITIZED_PLANNING,4,1.0555,20.5425,23806
test41,PRIORITIZED_PLANNING,4,4.37932,25.1327,94509
test42,PRIORITIZED_PLANNING,4,76.3317,inf,1925583
test43,PRIORITIZED_PLANNING,4,4.68248,24.3473,114133
test44,PRIORITIZED_PLANNING,4,0.834185,19.5826,19483
test45,PRIORITIZED_PLANNING,4,25.0711,23.8412,585095
test46,PRIORITIZED_PLANNING,4,47.9049,23.9285,1075870
test47,PRIORITIZED_PLANNING,4,4.16846,22.8464,88172
test48,PRIORITIZED_PLANNING,4,1.01732,19.4081,24423
test49,PRIORITIZED_PLANNING,4,76.3622,inf,2124685
test20,RRT_CONNECT,4,0,inf,0
test21,RRT_CONNECT,4,0,inf,0
test22,RRT_CONNECT,4,1.97821,17.4322,0
test23,RRT_CONNECT,4,1.92095,52.4977,0
test24,RRT_CONNECT,4,0,inf,0
test25,RRT_CONNECT,4,0,inf,0
test26,RRT_CONNECT,4,2.91639,38.3857,0
test27,RRT_CONNECT,4,0,inf,0
test28,RRT_CONNECT,4,2.91153,41.1697,0
test29,RRT_CONNECT,4,36.4964,58.1303,0
test30,RRT_CONNECT,4,0,inf,0
test31,RRT_CONNECT,4,0,inf,0
test32,RRT_CONNECT,4,11.7807,47.4682,0
test33,RRT_CONNECT,4,16.9632,44.5141,0
test34,RRT_CONNECT,4,27.2688,26.0333,0
test35,RRT_CONNECT,4,0,inf,0
test36,RRT_CONNECT,4,42.4061,20.5706,0
test37,RRT_CONNECT,4,0,inf,0
test38,RRT_CONNECT,4,0,inf,0
test39,RRT_CONNECT,4,0.274428,54.2169,0
test40,RRT_CONNECT,4,1.52459,38.9811,0
test41,RRT_CONNECT,4,0,inf,0
test42,RRT_CONNECT,4,7.71875,6.38811,0
test43,RRT_CONNECT,4,0,inf,0
test44,RRT_CONNECT,4,0,inf,0
test45,RRT_CONNECT,4,0,inf,0
test46,RRT_CONNECT,4,0,inf,0
test47,RRT_CONNECT,4,34.7178,2.53275,0
test48,RRT_CONNECT,4,21.054,57.1037,0
test49,RRT_CONNECT,4,0,inf,0
test20,PRM,4,0,inf,0
test21,PRM,4,0,inf,0
test22,PRM,4,0.02366,3.87596,0
test23,PRM,4,0,inf,0
test24,PRM,4,0,inf,0
test25,PRM,4,0,inf,0
test26,PRM,4,4.79807,47.9426,0
test27,PRM,4,0,inf,0
test28,PRM,4,0,inf,0
test29,PRM,4,0,inf,0
test30,PRM,4,0,inf,0
test31,PRM,4,0,inf,0
test32,PRM,4,0,inf,0
test33,PRM,4,1.73394,83.3491,0
test34,PRM,4,0,inf,0
test35,PRM,4,0,inf,0
test36,PRM,4,0.31505,77.4124,0
test37,PRM,4,0,inf,0
test38,PRM,4,0,inf,0
test39,PRM,4,0.676958,164.828,0
test40,PRM,4,0,inf,0
test41,PRM,4,0,inf,0
test42,PRM,4,0,inf,0
test43,PRM,4,7.89297,94.837,0
test44,PRM,4,4.24825,59.7821,0
test45,PRM,4,0,inf,0
test46,PRM,4,0,inf,0
test47,PRM,4,0,inf,0
test48,PRM,4,0,inf,0
test49,PRM,4,0,inf,0
test20,XCBS,4,3.82689,22.4275,74860
test21,XCBS,4,31.9686,30.3513,537852
test22,XCBS,4,0.56077,19.6175,10809
test23,XCBS,4,60.0086,inf,981087
test24,XCBS,4,60.0715,inf,947715
test25,XCBS,4,60.399,inf,1180862
test26,XCBS,4,60.0022,inf,887882
test27,XCBS,4,60.1058,inf,979118
test28,XCBS,4,60.0059,inf,822083
test29,XCBS,4,60.104,inf,935619
test30,XCBS,4,60.0695,inf,947998
test31,XCBS,4,2.98108,19.0241,51668
test32,XCBS,4,60.0117,inf,897067
test33,XCBS,4,60.0088,inf,997413
test34,XCBS,4,60.0204,inf,962424
test35,XCBS,4,2.42446,19.5826,49965
test36,XCBS,4,1.3725,21.8515,26615
test37,XCBS,4,10.9088,26.529,206497
test38,XCBS,4,3.38388,17.2089,61188
test39,XCBS,4,41.2654,24.9233,637455
test40,XCBS,4,18.218,20.5076,292292
test41,XCBS,4,3.49613,24.1903,62583
test42,XCBS,4,60.1369,inf,972549
test43,XCBS,4,60.0101,inf,904414
test44,XCBS,4,24.8076,19.8618,419709
test45,XCBS,4,60.6536,inf,985900
test46,XCBS,4,6.95088,24.1379,127281
test47,XCBS,4,60.0025,inf,870794
test48,XCBS,4,1.038,19.792,22249
test49,XCBS,4,7.43918,24.2426,155482
test20,CBS_MP,4,32.9347,22.5322,766789
test21,CBS_MP,4,61.1522,inf,1324893
test22,CBS_MP,4,1.41147,19.6175,29682
test23,CBS_MP,4,27.1854,19.5651,578468
test24,CBS_MP,4,67.4403,inf,1586996
test25,CBS_MP,4,64.9474,inf,1509175
test26,CBS_MP,4,13.0029,20.3505,295535
test27,CBS_MP,4,72.4633,inf,1685260
