test_name,planner_name,num_agents,planning_time,plan_cost,num_collision_checks
test0,ECBS,8,71.7178,inf,398232
test1,ECBS,8,64.6007,inf,460174
test2,ECBS,8,60.1871,inf,466028
test3,ECBS,8,74.9893,inf,596707
test4,ECBS,8,12.9605,35.3604,103580
test5,ECBS,8,66.2257,inf,559615
test6,ECBS,8,4.84504,31.5206,40822
test7,ECBS,8,38.3038,38.8685,372813
test8,ECBS,8,65.2307,inf,518381
test9,ECBS,8,7.22982,36.6868,65970
test10,ECBS,8,62.9032,inf,459585
test11,ECBS,8,62.4034,inf,569286
test12,ECBS,8,62.0478,inf,541923
test13,ECBS,8,63.2165,inf,497459
test14,ECBS,8,16.4296,36.2854,155642
test15,ECBS,8,67.1795,inf,498931
test16,ECBS,8,61.0111,inf,547059
test17,ECBS,8,76.8844,inf,647080
test18,ECBS,8,56.4184,34.0514,511521
test19,ECBS,8,4.44988,39.0779,36898
test0,PRIORITIZED_PLANNING,8,61.1707,inf,373533
test1,PRIORITIZED_PLANNING,8,62.0779,inf,674562
test2,PRIORITIZED_PLANNING,8,21.6412,32.9867,213500
test3,PRIORITIZED_PLANNING,8,64.294,inf,567191
test4,PRIORITIZED_PLANNING,8,34.5444,inf,289690
test5,PRIORITIZED_PLANNING,8,3.81415,inf,35180
test6,PRIORITIZED_PLANNING,8,60.8007,inf,587844
test7,PRIORITIZED_PLANNING,8,95.4177,inf,921483
test8,PRIORITIZED_PLANNING,8,18.0881,44.5233,178615
test9,PRIORITIZED_PLANNING,8,23.0332,36.5821,231505
test10,PRIORITIZED_PLANNING,8,83.1813,inf,726306
test11,PRIORITIZED_PLANNING,8,69.857,inf,756960
test12,PRIORITIZED_PLANNING,8,68.6689,176,561308
test13,PRIORITIZED_PLANNING,8,77.4615,inf,800483
test14,PRIORITIZED_PLANNING,8,16.6692,35.2033,166329
test15,PRIORITIZED_PLANNING,8,65.0145,inf,657346
test16,PRIORITIZED_PLANNING,8,35.7857,40.1251,288655
test17,PRIORITIZED_PLANNING,8,70.4984,148,671279
test18,PRIORITIZED_PLANNING,8,19.1715,33.458,171313
test19,PRIORITIZED_PLANNING,8,24.3324,40.8233,229663
test0,RRT_CONNECT,8,0,inf,0
test1,RRT_CONNECT,8,0,inf,0
test2,RRT_CONNECT,8,0,inf,0
test3,RRT_CONNECT,8,0,inf,0
test4,RRT_CONNECT,8,0,inf,0
test5,RRT_CONNECT,8,0,inf,0
test6,RRT_CONNECT,8,0,inf,0
test7,RRT_CONNECT,8,0,inf,0
test8,RRT_CONNECT,8,0,inf,0
test9,RRT_CONNECT,8,0,inf,0
test10,RRT_CONNECT,8,0,inf,0
test11,RRT_CONNECT,8,0,inf,0
test12,RRT_CONNECT,8,0,inf,0
test13,RRT_CONNECT,8,0,inf,0
test14,RRT_CONNECT,8,0,inf,0
test15,RRT_CONNECT,8,0,inf,0
test16,RRT_CONNECT,8,0,inf,0
test17,RRT_CONNECT,8,0,inf,0
test18,RRT_CONNECT,8,0,inf,0
test19,RRT_CONNECT,8,0,inf,0
test0,PRM,8,0,inf,0
test1,PRM,8,0,inf,0
test2,PRM,8,0,inf,0
test3,PRM,8,0,inf,0
test4,PRM,8,0,inf,0
test5,PRM,8,0,inf,0
test6,PRM,8,0,inf,0
test7,PRM,8,0,inf,0
test8,PRM,8,0,inf,0
test9,PRM,8,0,inf,0
test10,PRM,8,0,inf,0
test11,PRM,8,0,inf,0
test12,PRM,8,0,inf,0
test13,PRM,8,0,inf,0
test14,PRM,8,0,inf,0
test15,PRM,8,0,inf,0
test16,PRM,8,0,inf,0
test17,PRM,8,0,inf,0
test18,PRM,8,0,inf,0
test19,PRM,8,0,inf,0
test0,XCBS,8,60.0146,inf,370526
test1,XCBS,8,60.0037,inf,380980
test2,XCBS,8,60.0167,inf,503067
test3,XCBS,8,60.0141,inf,467218
