test_name,planner_name,num_agents,planning_time,plan_cost,num_hl_expanded,num_hl_generated,num_ll_expanded,num_ll_generated,hl_focal_weight,ll_focal_weight,wastar_weight,num_collision_checks,description,stamp
test0,EAECBS_L2_HEURISTIC,10,2.11587,58.8525,3,0,404,-1,1.3,1.3,55,26760,test 0 of 50 of the randomized test config.,2023-12-06T22:51:42
test1,EAECBS_L2_HEURISTIC,10,11.1727,53.7561,5,0,3165,-1,1.3,1.3,55,92787,test 1 of 50 of the randomized test config.,2023-12-06T22:52:22
test2,EAECBS_L2_HEURISTIC,10,12.4955,45.2913,28,0,6455,-1,1.3,1.3,55,97601,test 2 of 50 of the randomized test config.,2023-12-06T22:55:04
test3,EAECBS_L2_HEURISTIC,10,6.30308,56.7232,4,0,1235,-1,1.3,1.3,55,69078,test 3 of 50 of the randomized test config.,2023-12-06T22:55:40
test4,EAECBS_L2_HEURISTIC,10,4.44685,60.3011,2,0,1205,-1,1.3,1.3,55,46404,test 4 of 50 of the randomized test config.,2023-12-06T22:56:15
test5,EAECBS_L2_HEURISTIC,10,101.54,inf,0,0,32036,-1,1.3,1.3,55,843838,test 5 of 50 of the randomized test config.,2023-12-06T22:58:26
test6,EAECBS_L2_HEURISTIC,10,49.7761,50.3877,16,0,21288,-1,1.3,1.3,55,372394,test 6 of 50 of the randomized test config.,2023-12-06T22:59:46
test7,EAECBS_L2_HEURISTIC,10,13.2843,59.1841,9,0,3296,-1,1.3,1.3,55,105397,test 7 of 50 of the randomized test config.,2023-12-06T23:00:28
test8,EAECBS_L2_HEURISTIC,10,23.8982,57.8926,5,0,8165,-1,1.3,1.3,55,202977,test 8 of 50 of the randomized test config.,2023-12-06T23:01:23
test9,EAECBS_L2_HEURISTIC,10,3.1611,43.4412,2,0,705,-1,1.3,1.3,55,28987,test 9 of 50 of the randomized test config.,2023-12-06T23:01:56
test10,EAECBS_L2_HEURISTIC,10,2.2352,41.1374,3,0,389,-1,1.3,1.3,55,22126,test 10 of 50 of the randomized test config.,2023-12-06T23:02:28
test11,EAECBS_L2_HEURISTIC,10,23.6461,51.6792,22,0,6650,-1,1.3,1.3,55,161341,test 11 of 50 of the randomized test config.,2023-12-06T23:03:22
test12,EAECBS_L2_HEURISTIC,10,16.0878,54.4543,7,0,3059,-1,1.3,1.3,55,134541,test 12 of 50 of the randomized test config.,2023-12-06T23:04:09
test13,EAECBS_L2_HEURISTIC,10,2.65318,60.6153,2,0,309,-1,1.3,1.3,55,24101,test 13 of 50 of the randomized test config.,2023-12-06T23:04:42
test14,EAECBS_L2_HEURISTIC,10,9.5705,61.5578,8,0,1945,-1,1.3,1.3,55,72724,test 14 of 50 of the randomized test config.,2023-12-06T23:05:22
test15,EAECBS_L2_HEURISTIC,10,68.8128,inf,0,0,24857,-1,1.3,1.3,55,466615,test 15 of 50 of the randomized test config.,2023-12-06T23:07:01
test16,EAECBS_L2_HEURISTIC,10,4.95616,39.0256,14,0,715,-1,1.3,1.3,55,32292,test 16 of 50 of the randomized test config.,2023-12-06T23:07:36
test17,EAECBS_L2_HEURISTIC,10,9.1113,55.2222,7,0,1562,-1,1.3,1.3,55,62088,test 17 of 50 of the randomized test config.,2023-12-06T23:08:15
test18,EAECBS_L2_HEURISTIC,10,3.88519,59.2714,4,0,622,-1,1.3,1.3,55,34028,test 18 of 50 of the randomized test config.,2023-12-06T23:08:49
test19,EAECBS_L2_HEURISTIC,10,58.4508,58.6082,21,0,21599,-1,1.3,1.3,55,368577,test 19 of 50 of the randomized test config.,2023-12-06T23:10:19
test0,ECBS_L2_HEURISTIC,10,13.0728,58.3289,16,0,1229,-1,1.3,1.3,55,99026,test 0 of 50 of the randomized test config.,2023-12-06T23:11:02
test1,ECBS_L2_HEURISTIC,10,55.0684,53.5816,8,0,6456,-1,1.3,1.3,55,427183,test 1 of 50 of the randomized test config.,2023-12-06T23:12:28
test2,ECBS_L2_HEURISTIC,10,60.2592,inf,0,0,8834,-1,1.3,1.3,55,523604,test 2 of 50 of the randomized test config.,2023-12-06T23:13:58
test3,ECBS_L2_HEURISTIC,10,27.6701,56.5487,5,0,2838,-1,1.3,1.3,55,231063,test 3 of 50 of the randomized test config.,2023-12-06T23:14:55
test4,ECBS_L2_HEURISTIC,10,11.4712,60.3011,2,0,1485,-1,1.3,1.3,55,97661,test 4 of 50 of the randomized test config.,2023-12-06T23:15:37
test5,ECBS_L2_HEURISTIC,10,102.718,inf,0,0,13280,-1,1.3,1.3,55,841371,test 5 of 50 of the randomized test config.,2023-12-06T23:17:50
test6,ECBS_L2_HEURISTIC,10,64.8157,inf,0,0,8608,-1,1.3,1.3,55,560477,test 6 of 50 of the randomized test config.,2023-12-06T23:19:25
