test_name,planner_name,num_agents,planning_time,plan_cost,num_collision_checks
test0,ECBS,4,3.50376,18.3958,96433
test1,ECBS,4,5.18661,23.1605,104235
test2,ECBS,4,0.474381,21.1708,16481
test3,ECBS,4,0.126785,16.7203,4830
test4,ECBS,4,0.23126,21.2407,8308
test5,ECBS,4,0.326102,18.9019,11159
test6,ECBS,4,2.05298,20.2284,57416
test7,ECBS,4,0.726404,20.1236,24876
test8,ECBS,4,1.42027,18.4656,39144
test9,ECBS,4,0.231138,17.942,7878
test10,ECBS,4,18.8739,17.5057,439005
test11,ECBS,4,0.470687,26.9653,16339
test12,ECBS,4,2.9034,17.3486,75371
test13,ECBS,4,0.150427,18.3609,5911
test14,ECBS,4,0.577107,16.0047,14879
test15,ECBS,4,0.225209,10.6465,6754
test16,ECBS,4,1.51496,14.9051,43525
test17,ECBS,4,5.75791,15.1495,154807
test18,ECBS,4,0.398133,18.7623,11546
test19,ECBS,4,3.43262,20.9614,101117
test0,PRIORITIZED_PLANNING,4,0.126335,inf,4958
test1,PRIORITIZED_PLANNING,4,0.580921,22.7765,18773
test2,PRIORITIZED_PLANNING,4,1.83235,21.1359,72039
test3,PRIORITIZED_PLANNING,4,0.971376,16.6155,37834
test4,PRIORITIZED_PLANNING,4,2.19421,22.8464,85008
test5,PRIORITIZED_PLANNING,4,1.07696,19.8444,40338
test6,PRIORITIZED_PLANNING,4,8.22968,20.0887,292839
test7,PRIORITIZED_PLANNING,4,0.645567,20.1236,24821
test8,PRIORITIZED_PLANNING,4,0.360106,18.675,11502
test9,PRIORITIZED_PLANNING,4,0.654568,17.9071,24329
test10,PRIORITIZED_PLANNING,4,2.28666,inf,77172
test11,PRIORITIZED_PLANNING,4,0.649438,27.3493,25452
test12,PRIORITIZED_PLANNING,4,1.00506,18.5354,34445
test13,PRIORITIZED_PLANNING,4,3.76625,18.2212,154314
test14,PRIORITIZED_PLANNING,4,0.368958,15.9349,13291
test15,PRIORITIZED_PLANNING,4,0.42024,10.6465,15444
test16,PRIORITIZED_PLANNING,4,0.314464,15.2542,12120
test17,PRIORITIZED_PLANNING,4,0.356659,14.9051,13502
test18,PRIORITIZED_PLANNING,4,0.367801,18.7623,12396
test19,PRIORITIZED_PLANNING,4,0.298626,inf,9283
test0,RRT_CONNECT,4,0.0332813,29.8457,0
test1,RRT_CONNECT,4,0.0463555,24.3242,0
test2,RRT_CONNECT,4,0.0640063,20.7874,0
test3,RRT_CONNECT,4,0.0514231,15.9525,0
test4,RRT_CONNECT,4,0.053333,27.3989,0
test5,RRT_CONNECT,4,0.042383,23.3023,0
test6,RRT_CONNECT,4,0.0458175,24.978,0
test7,RRT_CONNECT,4,0.0650349,51.1601,0
test8,RRT_CONNECT,4,0.0603689,20.4645,0
test9,RRT_CONNECT,4,0.0381906,17.9728,0
test10,RRT_CONNECT,4,0.130179,30.708,0
test11,RRT_CONNECT,4,0.0613673,47.9746,0
test12,RRT_CONNECT,4,0.0738565,50.0964,0
test13,RRT_CONNECT,4,0.0556717,19.2658,0
test14,RRT_CONNECT,4,0.0662346,29.3545,0
test15,RRT_CONNECT,4,0.0296339,9.88008,0
test16,RRT_CONNECT,4,0.0665084,52.6391,0
test17,RRT_CONNECT,4,0.0733537,31.8863,0
test18,RRT_CONNECT,4,0.059707,34.3235,0
test19,RRT_CONNECT,4,0.0509632,32.5471,0
test0,PRM,4,0.209934,74.8847,0
test1,PRM,4,0.103039,39.2493,0
test2,PRM,4,0.0201894,20.7871,0
test3,PRM,4,0.0191274,15.9528,0
test4,PRM,4,0.128311,53.6819,0
test5,PRM,4,0.081406,69.457,0
test6,PRM,4,0.139768,134.574,0
test7,PRM,4,0.157988,42.8622,0
test8,PRM,4,0.0606919,45.1489,0
test9,PRM,4,0.0624006,31.7226,0
test10,PRM,4,0.108838,77.8679,0
test11,PRM,4,0.064749,41.0143,0
test12,PRM,4,0.0702984,34.1422,0
test13,PRM,4,0.13133,30.6193,0
test14,PRM,4,0.177904,33.0484,0
test15,PRM,4,0.0149338,9.87902,0
test16,PRM,4,0.0671398,44.3854,0
test17,PRM,4,0.137484,100.715,0
test18,PRM,4,0.837189,39.9784,0
test19,PRM,4,0.147018,56.0798,0
test0,XCBS,4,4.80828,18.4307,132602
test1,XCBS,4,7.66215,23.2652,189015
test2,XCBS,4,0.464493,21.1708,15311
test3,XCBS,4,0.118285,16.7203,4830
test4,XCBS,4,0.21341,21.2407,8013
test5,XCBS,4,60.0155,inf,1665186
test6,XCBS,4,26.7784,19.7397,721917
test7,XCBS,4,1.01547,20.1236,32103
test8,XCBS,4,60.0015,inf,1384643
test9,XCBS,4,0.175588,17.942,5782
test10,XCBS,4,60.0026,inf,1613837
test11,XCBS,4,12.1335,26.8257,317283
test12,XCBS,4,60.0475,inf,1662524
test13,XCBS,4,3.12771,18.3609,89444
test14,XCBS,4,0.32107,15.9349,7812
test15,XCBS,4,0.219533,10.6465,6335
test16,XCBS,4,1.03459,14.6608,27966
test17,XCBS,4,60.0058,inf,1648554
test18,XCBS,4,1.2283,18.7274,42838
test19,XCBS,4,60.0051,inf,1513346
test0,CBS_MP,4,3.67506,17.5231,131341
test1,CBS_MP,4,68.2628,inf,1948950
test2,CBS_MP,4,1.26028,21.1708,49441
test3,CBS_MP,4,0.095081,16.7203,4045
test4,CBS_MP,4,0.658877,21.2407,25444
test5,CBS_MP,4,2.04785,18.4481,75825
test6,CBS_MP,4,3.98594,20.2284,160227
test7,CBS_MP,4,1.16115,20.1236,45316
test8,CBS_MP,4,1.71975,18.5703,57719
test9,CBS_MP,4,0.173843,17.942,6683
test10,CBS_MP,4,60.0742,inf,1967928
test11,CBS_MP,4,2.86668,26.9653,105908
test12,CBS_MP,4,113.655,inf,3454017
test13,CBS_MP,4,0.434131,18.3609,16458
test14,CBS_MP,4,1.41536,15.9349,43411
test15,CBS_MP,4,0.592207,10.6465,20741
test16,CBS_MP,4,9.99188,15.2891,275827
test17,CBS_MP,4,60.8457,inf,1890100
test18,CBS_MP,4,0.802264,18.7623,31212
test19,CBS_MP,4,8.83045,20.5774,290825
test0,CBS,4,36.6631,18.326,1312416
test1,CBS,4,40.5557,23.2652,1216855
test2,CBS,4,1.97534,21.1708,78182
test3,CBS,4,0.0959355,16.7203,4045
test4,CBS,4,0.536023,21.2407,21292
test5,CBS,4,60.0357,inf,2415781
test6,CBS,4,1.98829,19.5651,74063
test7,CBS,4,4.30899,20.1236,174497
test8,CBS,4,60.1281,inf,1763112
test9,CBS,4,0.176019,17.942,6447
test10,CBS,4,60.0194,inf,2437386
test11,CBS,4,60.0287,inf,2417390
test12,CBS,4,60.0214,inf,2086518
test13,CBS,4,10.5803,18.3609,459261
test14,CBS,4,0.547214,15.9349,15329
test15,CBS,4,0.492182,10.6465,19729
test16,CBS,4,3.11252,14.6608,126575
test17,CBS,4,60.0216,inf,2357982
test18,CBS,4,3.70725,18.7274,154593
test19,CBS,4,60.0251,inf,2342192
test0,DRRT-FIRST,4,0.216301,21.4306,99843
test1,DRRT-FIRST,4,0.299171,23.9892,100825
test2,DRRT-FIRST,4,0.140519,23.9146,98078
test3,DRRT-FIRST,4,0.00364171,15.9523,95767
test4,DRRT-FIRST,4,0.304901,68.5722,100486
test5,DRRT-FIRST,4,0.133646,21.4817,97288
test6,DRRT-FIRST,4,0.226377,22.6116,99911
test7,DRRT-FIRST,4,0,inf,1300958
test8,DRRT-FIRST,4,0.341848,37.1792,101495
test9,DRRT-FIRST,4,0.358967,20.6435,100736
test10,DRRT-FIRST,4,0.114074,24.845,97307
test11,DRRT-FIRST,4,0.19385,38.9463,99014
test12,DRRT-FIRST,4,0.125943,28.4358,98772
test13,DRRT-FIRST,4,0.334033,19.4823,100956
test14,DRRT-FIRST,4,0.16935,27.3649,99532
test15,DRRT-FIRST,4,0.207213,20.6111,99578
test16,DRRT-FIRST,4,3.12508,52.7417,146466
test17,DRRT-FIRST,4,0.211361,33.4322,100450
test18,DRRT-FIRST,4,0.167363,46.5664,98406
test19,DRRT-FIRST,4,0.296182,33.721,100642
test20,ECBS,4,0.428325,18.0118,10381
test21,ECBS,4,1.24895,22.3577,30819
test22,ECBS,4,12.8076,23.8412,327988
test23,ECBS,4,12.4313,21.6072,262322
test24,ECBS,4,37.5441,20.1935,827380
test25,ECBS,4,0.423918,16.7203,9733
test26,ECBS,4,0.432022,19.3208,9708
test27,ECBS,4,0.311523,14.5037,7932
test28,ECBS,4,0.514492,19.9142,9834
test29,ECBS,4,0.745498,20.2284,19108
test30,ECBS,4,0.485846,19.3906,11038
test31,ECBS,4,0.177414,11.9031,5337
test32,ECBS,4,0.494777,20.7869,13751
test33,ECBS,4,17.6322,28.0474,295001
test34,ECBS,4,1.9859,19.635,43310
test35,ECBS,4,3.89161,23.4921,97912
test36,ECBS,4,5.23403,20.4378,118442
test37,ECBS,4,0.368107,17.2962,10336
