test_name,planner_name,num_agents,planning_time,plan_cost,num_collision_checks
test2,XECBS,6,2.56819,35.4651,40926
test3,XECBS,6,5.5787,37.6468,76498
test4,XECBS,6,4.63796,39.9157,70270
test5,XECBS,6,0.508464,24.5393,10390
test6,XECBS,6,1.35095,31.2239,25498
test7,XECBS,6,5.92062,28.8328,104579
test8,XECBS,6,69.3108,inf,713349
test9,XECBS,6,32.2785,30.5084,326839
test10,XECBS,6,1.73796,26.1276,19248
test11,XECBS,6,60.1335,inf,559093
test12,XECBS,6,3.37575,26.5465,29804
test13,XECBS,6,12.1719,27.9776,111264
test14,XECBS,6,4.96601,31.4334,56064
test15,XECBS,6,2.51184,29.4612,31875
test16,XECBS,6,1.12992,37.35,14311
test17,XECBS,6,6.66828,35.1684,71259
test18,XECBS,6,5.4978,36.8963,55205
test19,XECBS,6,6.40441,30.1069,70274
test2,ECBS,6,20.8456,35.4302,251607
test3,ECBS,6,13.9118,37.4024,184537
test4,ECBS,6,21.3523,39.9157,291375
test5,ECBS,6,9.64393,23.9459,133686
test6,ECBS,6,63.1317,inf,765599
test7,ECBS,6,60.7333,inf,926316
test8,ECBS,6,107.897,inf,1647903
test9,ECBS,6,91.088,inf,1174963
test10,ECBS,6,9.78931,25.953,135947
test11,ECBS,6,60.8711,inf,759452
test12,ECBS,6,34.7205,27.3144,422676
test13,ECBS,6,29.4569,28.2569,375255
test14,ECBS,6,14.7885,30.9098,193408
test15,ECBS,6,61.2283,inf,826253
test16,ECBS,6,2.8248,36.4076,37213
test17,ECBS,6,45.9462,35.0986,553800
test18,ECBS,6,75.6971,inf,932291
test19,ECBS,6,63.7138,inf,788865
test2,PRIORITIZED_PLANNING,6,2.07589,35.2207,27018
test3,PRIORITIZED_PLANNING,6,61.4281,inf,698804
test4,PRIORITIZED_PLANNING,6,2.49414,39.6015,29162
test5,PRIORITIZED_PLANNING,6,14.9276,23.8761,222577
test6,PRIORITIZED_PLANNING,6,1.69777,30.456,25468
test7,PRIORITIZED_PLANNING,6,62.7819,inf,983383
test8,PRIORITIZED_PLANNING,6,60.7071,inf,831260
test9,PRIORITIZED_PLANNING,6,4.65274,30.2989,59071
test10,PRIORITIZED_PLANNING,6,4.52796,28.222,63334
test11,PRIORITIZED_PLANNING,6,5.22038,39.1477,71830
test12,PRIORITIZED_PLANNING,6,8.23052,26.5116,119572
test13,PRIORITIZED_PLANNING,6,23.0225,inf,332567
test14,PRIORITIZED_PLANNING,6,8.42729,inf,121772
test15,PRIORITIZED_PLANNING,6,11.9156,31.381,164998
test16,PRIORITIZED_PLANNING,6,3.49412,37.2802,49408
test17,PRIORITIZED_PLANNING,6,67.3482,inf,879200
test18,PRIORITIZED_PLANNING,6,1.82661,inf,26938
test19,PRIORITIZED_PLANNING,6,1.90155,inf,24932
test2,RRT_CONNECT,6,0.218271,47.2849,0
test3,RRT_CONNECT,6,1.08692,154.157,0
test4,RRT_CONNECT,6,0.416146,94.2311,0
test5,RRT_CONNECT,6,0.534572,107.382,0
test6,RRT_CONNECT,6,0.0,inf,0
